Pc1.A,Pc1.R,Pc1.N,Pc1.D,Pc1.C,Pc1.E,Pc1.Q,Pc1.G,Pc1.H,Pc1.I,Pc1.L,Pc1.K,Pc1.M,Pc1.F,Pc1.P,Pc1.S,Pc1.T,Pc1.W,Pc1.Y,Pc1.V,Pc2.Hydrophobicity.1,Pc2.Hydrophilicity.1,Pc2.Hydrophobicity.2,Pc2.Hydrophilicity.2,Pc2.Hydrophobicity.3,Pc2.Hydrophilicity.3,Pc2.Hydrophobicity.4,Pc2.Hydrophilicity.4,Pc2.Hydrophobicity.5,Pc2.Hydrophilicity.5,Pc2.Hydrophobicity.6,Pc2.Hydrophilicity.6,Pc2.Hydrophobicity.7,Pc2.Hydrophilicity.7,Pc2.Hydrophobicity.8,Pc2.Hydrophilicity.8,Pc2.Hydrophobicity.9,Pc2.Hydrophilicity.9,Pc2.Hydrophobicity.10,Pc2.Hydrophilicity.10,Pc2.Hydrophobicity.11,Pc2.Hydrophilicity.11,Pc2.Hydrophobicity.12,Pc2.Hydrophilicity.12,Pc2.Hydrophobicity.13,Pc2.Hydrophilicity.13,Pc2.Hydrophobicity.14,Pc2.Hydrophilicity.14,Pc2.Hydrophobicity.15,Pc2.Hydrophilicity.15,Pc2.Hydrophobicity.16,Pc2.Hydrophilicity.16,Pc2.Hydrophobicity.17,Pc2.Hydrophilicity.17,Pc2.Hydrophobicity.18,Pc2.Hydrophilicity.18,Pc2.Hydrophobicity.19,Pc2.Hydrophilicity.19,Pc2.Hydrophobicity.20,Pc2.Hydrophilicity.20,Pc2.Hydrophobicity.21,Pc2.Hydrophilicity.21,Pc2.Hydrophobicity.22,Pc2.Hydrophilicity.22,Pc2.Hydrophobicity.23,Pc2.Hydrophilicity.23,Pc2.Hydrophobicity.24,Pc2.Hydrophilicity.24,Pc2.Hydrophobicity.25,Pc2.Hydrophilicity.25,Pc2.Hydrophobicity.26,Pc2.Hydrophilicity.26,Pc2.Hydrophobicity.27,Pc2.Hydrophilicity.27,Pc2.Hydrophobicity.28,Pc2.Hydrophilicity.28,Pc2.Hydrophobicity.29,Pc2.Hydrophilicity.29,Pc2.Hydrophobicity.30,Pc2.Hydrophilicity.30,Class
5.114903546,22.16458203,3.409935697,23.86954988,0,20.45961418,7.672355318,23.86954988,7.672355318,5.96738747,13.63974279,4.262419621,4.262419621,20.45961418,27.27948558,23.01706596,10.22980709,4.262419621,1.704967849,8.524839243,-6.72E-06,0.005754641,0.001491445,0.003615121,0.004695794,0.007640587,0.002678697,0.009144218,-0.0019684,0.004726651,0.000480169,0.008388065,-0.003777679,0.003939753,0.004778821,0.004449013,0.003981955,0.006959577,-0.00345283,0.003390392,0.00048355,0.003974237,0.007655622,0.009126201,-0.000450111,0.003168119,-0.003428063,-0.000980343,0.002342587,0.004455809,0.003380092,0.004314481,0.004566572,0.007192837,-0.000672802,0.003098482,-0.001254099,0.002401259,0.001204035,0.004181671,0.00218818,0.003100417,2.43E-05,0.003197439,-0.00438688,0.000419038,0.002591281,0.003572252,-0.000812471,0.002611228,-0.000332153,0.002269352,-0.001088033,0.00176022,-0.000318704,0.002986138,-0.001076735,0.000995895,0.003896017,0.004249891,mithocond
45.50300344,21.80352248,18.01160553,23.69948096,7.583833907,34.12725258,12.3237301,51.19087887,9.479792384,31.28331487,42.65906573,36.02321106,14.21968858,18.01160553,19.90756401,29.38735639,25.59543944,3.791916954,11.37575086,36.9711903,-0.001988965,0.000318785,-0.003587917,-0.002770884,0.003471805,0.003456789,0.001924329,0.001996314,0.00043934,0.001039793,0.001363956,0.001283278,-0.00366718,-0.001622821,0.002482992,0.003691232,-0.001314721,0.002266672,0.002706498,0.003473313,0.00223206,0.004115377,-2.10E-05,5.86E-05,0.002354678,0.000834329,0.003852419,0.006487527,0.00240018,0.001986595,-0.000992293,0.001272478,-0.000471297,-0.000168308,0.000611514,0.001005519,-0.000123525,0.001920217,-0.000222736,-0.000133961,-0.001058424,-0.001301759,-0.001162848,-0.000818698,0.000749105,0.004496843,-0.001421616,0.000576236,-0.001757889,0.001591532,-0.001915106,0.00173321,0.001585483,0.000904502,0.001581168,0.003489483,0.001343692,0.000447946,-0.001212374,0.002209299,mithocond
7.492296115,9.365370143,2.809611043,0.936537014,2.809611043,0.936537014,0.936537014,5.619222086,3.746148057,1.873074029,14.04805521,9.365370143,1.873074029,3.746148057,7.492296115,4.682685072,3.746148057,0.936537014,3.746148057,7.492296115,0.009594063,0.00766192,0.003268545,0.000743081,-0.009219636,-0.00778232,0.006881784,0.000926737,-0.003762639,-0.005111941,0.004083388,0.002140405,-0.006653219,-0.008766213,0.005688715,0.000773063,0.003966776,0.002305492,0.019072419,0.013048148,0.006790946,0.000230183,-0.001588687,-0.002747482,-0.00509496,-0.007957472,0.002086774,0.000390652,0.007015721,0.003067147,0.007379097,0.004730446,0.002971361,-0.005467562,-0.002509528,-0.002721531,-0.001647627,-0.000185154,0.006148006,0.004468051,-0.005220515,-0.005661059,-0.007145814,-0.003770647,-0.011262042,-0.006403491,0.010025614,0.007539084,0.013729077,0.008755999,0.007976631,0.005013473,-0.004316371,-0.003014439,0.001450646,0.003505053,-0.007360597,-0.001922541,0.002238773,0.005089199,mithocond
28.66016404,14.33008202,8.188618297,2.047154574,3.070731861,8.188618297,10.23577287,19.44796846,6.141463723,15.35365931,9.212195584,13.30650473,3.070731861,5.117886436,12.28292745,12.28292745,12.28292745,3.070731861,1.023577287,11.25935016,-0.004406308,-0.002259808,-0.003654602,0.000313976,0.005038653,0.004654286,0.00519773,0.001276541,-0.001599568,-0.00028749,-0.004164681,-0.004251458,-0.004092878,-0.003682623,0.001574745,0.002544838,-0.002222591,-0.001062046,0.006713003,0.00449931,-0.00086023,-0.000229634,-0.006140602,-0.002926247,0.000329277,0.003661308,-0.002843031,-0.002861458,-0.00243373,-0.000601928,-0.004149061,-0.000252099,0.000222347,0.000974228,0.001225603,-0.001714117,0.003504283,0.004575351,0.002111581,0.00194847,-0.004222587,-0.001296867,0.001521741,0.001431803,-0.000893869,0.000593732,0.00013246,0.001336867,-0.001169626,-0.003256859,-0.000474838,-0.000449755,-0.004847783,-0.001777168,-0.001069918,-0.001537529,0.003796333,0.00162784,-0.003226189,-0.003464418,mithocond
30.57503298,12.82178803,13.80807941,9.862913865,4.931456933,17.75324496,12.82178803,32.54761576,1.972582773,23.67099328,27.61615882,24.65728466,7.890331092,17.75324496,14.7943708,23.67099328,24.65728466,3.945165546,4.931456933,19.72582773,-0.00348818,-0.002963465,-0.006667211,-0.005667805,-0.000973567,0.001522751,0.002188475,0.00200418,0.000846753,-0.001814474,-0.001151868,-0.002216559,0.003858285,0.00487612,0.003981304,0.003320884,-0.001783855,-0.002105595,0.000754619,0.000347366,0.004388291,0.00325476,0.002442663,0.001355325,-0.005069137,-0.002978708,0.001465611,0.001081233,0.003202582,0.000450362,0.001290558,0.003410278,0.001557958,0.000744852,0.004048116,0.000617306,0.000986787,0.000786043,0.001272472,-0.000502287,-0.001550647,-0.002705006,-0.003738504,-0.003842718,0.000182616,0.003039331,-0.001160624,-0.000808809,0.00274283,0.002667125,0.003758714,0.002957405,-0.004970954,-0.004220053,0.00540385,0.003370244,-7.28E-05,-2.90E-05,-0.004248865,-0.001738787,mithocond
31.25012992,35.15639616,5.859399359,20.50789776,6.835965919,19.5313312,11.71879872,39.0626624,7.812532479,11.71879872,42.96892863,10.74223216,4.882832799,21.48446432,33.20326304,27.34386368,11.71879872,4.882832799,6.835965919,36.13296272,-0.002306035,-0.000185317,-0.005506053,-0.00390162,0.000335733,0.002712004,0.004724661,0.002298825,-0.001727854,-0.002138698,0.000233791,0.001227673,-0.001117723,0.000894531,-0.000441002,-0.001005458,0.001905312,0.002815866,0.000584487,0.001578537,-0.000983582,0.000599297,0.00268504,0.00336514,0.000395506,0.001758402,0.002060627,0.001688694,-0.000765792,0.000417639,-0.000811265,-0.000283699,0.001923044,0.001119586,-0.004640515,-0.002682936,0.005428556,0.001410568,0.00213421,0.001723263,-1.94E-05,0.00071496,-0.00216546,-6.56E-05,0.000909997,0.001030101,0.000448464,0.002625417,-0.000957018,0.002918623,0.001179207,0.001464175,-0.000599807,-6.84E-05,-0.00200142,-0.001286965,-0.003119257,0.000887701,0.0035418,0.000472839,mithocond
17.70963322,20.92956653,6.439866625,9.659799938,1.609966656,9.659799938,11.26976659,7.244849953,3.219933313,9.659799938,23.34451652,24.95448317,4.829899969,5.634883297,12.07474992,9.659799938,8.049833281,2.414949984,6.439866625,12.07474992,0.005518173,0.00483171,-0.002401034,-0.001402546,0.000985341,0.004360794,0.005890834,0.008624009,0.006598554,0.006030549,4.98E-05,0.001189226,-0.001425127,0.002383362,-0.002207446,0.003003916,0.004784231,0.007330397,0.001627376,0.001082525,-0.002809086,-0.000982337,-0.001040759,0.004408199,0.001184553,0.005375765,0.002957006,0.005813953,0.001134405,0.00396444,0.003750346,0.005154807,0.0082581,0.006997666,0.004656049,0.006591962,0.006826703,0.009014052,-0.007774531,-0.001755979,0.00497992,0.006871687,0.004771934,0.005354351,0.004319226,0.005176411,0.006177675,0.005202099,-0.003567738,-0.000976984,0.009859428,0.008782092,0.009308089,0.009212944,0.000914387,0.002454467,-0.003727411,-0.004504168,0.001947549,0.003880736,mithocond
38.46613078,33.53457555,11.83573255,21.698843,11.83573255,31.56195346,11.83573255,53.26079646,9.863110456,25.64408718,35.50719764,24.65777614,8.87679941,17.75359882,22.68515405,24.65777614,24.65777614,9.863110456,9.863110456,29.58933137,-0.00342193,-0.001412536,-0.000625969,0.001187106,-0.004921216,-0.002127208,0.003094863,-0.000993261,-0.001474762,-0.002032719,-0.002476567,0.000177235,0.003881982,0.003624876,-0.000405773,0.001980732,0.000373039,0.000513811,0.002256239,0.002241873,6.23E-05,0.00281929,0.005457926,0.002399746,-0.002412749,-0.000366476,-0.003058845,0.000286224,0.006180925,0.003643647,-0.000891641,-0.002115875,0.000861092,0.001268617,0.000551788,0.001654912,-0.001846725,0.000582786,-0.000396551,0.000514902,-8.29E-05,0.000332996,-0.002429894,-0.000716666,0.003411822,0.001912059,0.002263405,0.003483926,0.004136432,0.003393117,-0.006398748,-0.004213705,-0.000438568,-0.000181093,-0.001821214,-5.08E-05,0.000596603,-0.000178882,-0.002536575,-0.001427411,mithocond
40.92194336,27.94669303,17.96573123,29.94288539,8.982865616,22.95621213,23.95430831,33.9352701,7.984769436,15.96953887,53.8971937,28.94478921,13.97334651,20.96001977,22.95621213,43.9162319,33.9352701,5.988577077,22.95621213,28.94478921,-0.0006445,-0.000354503,-0.006158562,-0.006742271,-0.000374078,-4.09E-05,0.00414385,0.002627467,0.001597604,0.001778074,0.003612393,0.000642301,-0.001764228,-0.000779912,0.004370393,0.003772146,-0.003335399,0.001461111,-0.002969209,-0.002570064,0.000213446,0.002480274,-0.000356422,2.38E-05,-0.001825862,-0.0027082,0.00321311,0.001971039,-0.00222529,-0.000517782,0.000579848,0.000737487,-0.000765571,-0.000448249,0.001813604,0.0012903,0.000150518,-0.000602166,0.00133013,0.00398969,-0.000821026,0.000173083,0.000556652,0.000337595,-0.002014803,-0.00090133,0.000298533,-0.002551264,0.005401909,0.005378786,-0.000134288,0.00276242,-0.000130558,-0.000773905,-0.000697374,-0.001184869,-0.004652767,-0.00244656,-0.001636236,-0.001675644,mithocond
33.74903699,18.40856563,8.181584726,10.22698091,8.181584726,17.38586754,12.27237709,30.68094272,5.113490454,13.29507518,37.83982936,25.56745227,11.249679,22.499358,24.54475418,24.54475418,17.38586754,5.113490454,16.36316945,27.61284845,-0.000451152,0.000212706,-0.000972063,-0.003056213,0.001440661,0.001307409,0.00474174,0.004425085,0.004148607,0.003415806,-0.005382397,-0.006136231,0.002117178,0.00020111,0.005711707,0.005820665,0.001594801,0.003107991,-0.005326038,-0.004239565,0.000254862,-0.000227094,0.008121484,0.003713479,0.001465106,-0.002118545,-0.000375484,-0.000953871,-0.002413112,-0.003260809,0.004483544,0.003562511,-0.003926691,-0.002931884,-0.001743773,-0.000452668,-0.001740646,-0.002337754,0.005699943,0.002595794,0.000357941,-0.000714109,-0.002807279,-0.002703492,-0.003075504,-0.005349843,1.31E-05,-0.000739208,-0.000383937,0.002356688,-0.005077646,-0.008356608,-0.004776612,-0.00551162,0.00076118,3.81E-05,-0.001112492,-0.001891182,-0.003871063,4.93E-05,mithocond
