>order,family,Genus,species,mass(g),newborn(g)
Artiodactyla,Antilocapridae,Antilocapra,americana,45375.00,3246.36
Artiodactyla,Bovidae,Addax,nasomaculatus,182375.00,5480.00
Artiodactyla,Bovidae,Aepyceros,melampus,41480.00,5093.00
Artiodactyla,Bovidae,Alcelaphus,buselaphus,150000.00,10166.67
Artiodactyla,Bovidae,Ammotragus,lervia,55500.00,3810.00
Artiodactyla,Bovidae,Antidorcas,marsupialis,30000.00,3910.00
Artiodactyla,Bovidae,Antilope,cervicapra,37500.00,3846.00
Artiodactyla,Bovidae,Bison,bison,497666.67,20000.00
Artiodactyla,Bovidae,Bison,bonasus,500000.00,23000.08
Artiodactyla,Bovidae,Bos,frontalis,800000.00,23033.33
Artiodactyla,Bovidae,Bos,grunniens,333000.00,18000.00
Artiodactyla,Bovidae,Boselaphus,tragocamelus,169000.00,5875.00
Artiodactyla,Bovidae,Bubalus,bubalis,950000.00,37500.00
Artiodactyla,Bovidae,Budorcas,taxicolor,302000.00,6000.00
Artiodactyla,Bovidae,Capra,caucasica,55000.00,3850.00
Artiodactyla,Bovidae,Capra,cylindricornis,50000.00,3787.50
Artiodactyla,Bovidae,Capra,hircus,60000.00,2200.00
Artiodactyla,Bovidae,Capra,ibex,71500.00,2791.43
Artiodactyla,Bovidae,Cephalophus,dorsalis,11600.00,1610.00
Artiodactyla,Bovidae,Cephalophus,maxwellii,9000.00,832.00
Artiodactyla,Bovidae,Cephalophus,monticola,6250.00,800.00
Artiodactyla,Bovidae,Cephalophus,rufilatus,12500.00,965.00
Artiodactyla,Bovidae,Cephalophus,silvicultor,62500.00,2400.00
Artiodactyla,Bovidae,Connochaetes,gnou,132250.00,11000.00
Artiodactyla,Bovidae,Connochaetes,taurinus,164500.00,17716.67
Artiodactyla,Bovidae,Damaliscus,hunteri,159000.00,8350.00
Artiodactyla,Bovidae,Damaliscus,lunatus,128000.00,11100.00
Artiodactyla,Bovidae,Damaliscus,pygargus,84500.00,6792.00
Artiodactyla,Bovidae,Gazella,dorcas,16985.00,1500.63
Artiodactyla,Bovidae,Gazella,granti,47636.36,5602.50
Artiodactyla,Bovidae,Gazella,leptoceros,23600.00,4640.00
Artiodactyla,Bovidae,Gazella,spekei,20000.00,1253.33
Artiodactyla,Bovidae,Gazella,subgutturosa,25500.00,2426.67
Artiodactyla,Bovidae,Gazella,thomsonii,16300.00,2553.75
Artiodactyla,Bovidae,Hemitragus,jemlahicus,35200.00,2000.00
Artiodactyla,Bovidae,Hippotragus,equinus,242000.00,15166.67
Artiodactyla,Bovidae,Hippotragus,niger,200500.00,15447.14
Artiodactyla,Bovidae,Kobus,ellipsiprymnus,175333.33,9000.00
Artiodactyla,Bovidae,Kobus,kob,58600.00,4937.50
Artiodactyla,Bovidae,Kobus,leche,81733.33,5100.00
Artiodactyla,Bovidae,Madoqua,guentheri,4550.00,681.67
Artiodactyla,Bovidae,Madoqua,kirkii,4876.67,654.00
Artiodactyla,Bovidae,Madoqua,saltiana,3250.00,690.00
Artiodactyla,Bovidae,Naemorhedus,crispus,30000.00,3510.50
Artiodactyla,Bovidae,Naemorhedus,goral,27666.67,2000.00
Artiodactyla,Bovidae,Neotragus,batesi,2500.00,500.00
Artiodactyla,Bovidae,Oreamnos,americanus,82350.00,3176.67
Artiodactyla,Bovidae,Oreotragus,oreotragus,13000.00,1065.00
Artiodactyla,Bovidae,Oryx,dammah,177500.00,10316.67
Artiodactyla,Bovidae,Oryx,gazella,195000.00,12015.00
Artiodactyla,Bovidae,Ourebia,ourebi,17500.00,2235.00
Artiodactyla,Bovidae,Ovibos,moschatus,258000.00,11077.40
Artiodactyla,Bovidae,Ovis,ammon,180000.00,2375.00
Artiodactyla,Bovidae,Ovis,aries,50000.00,2277.08
Artiodactyla,Bovidae,Ovis,canadensis,68166.67,4266.67
Artiodactyla,Bovidae,Ovis,dalli,57666.67,3500.00
Artiodactyla,Bovidae,Procapra,gutturosa,24000.00,2900.00
Artiodactyla,Bovidae,Raphicerus,campestris,11333.33,936.00
Artiodactyla,Bovidae,Redunca,arundinum,48850.00,4500.00
Artiodactyla,Bovidae,Redunca,fulvorufula,30000.00,2600.00
Artiodactyla,Bovidae,Rupicapra,rupicapra,26100.00,2652.86
Artiodactyla,Bovidae,Saiga,tatarica,38250.00,3365.33
Artiodactyla,Bovidae,Sigmoceros,lichtensteinii,153000.00,15000.00
Artiodactyla,Bovidae,Sylvicapra,grimmia,19000.00,1202.86
Artiodactyla,Bovidae,Syncerus,caffer,504666.67,42862.50
Artiodactyla,Bovidae,Taurotragus,oryx,432500.00,28325.00
Artiodactyla,Bovidae,Tetracerus,quadricornis,19000.00,1033.00
Artiodactyla,Bovidae,Tragelaphus,angasii,100666.67,5232.50
