pTr0,pTr2,pTr4,pH,pW,pS6,pS,pJ,pX0,pX1R,pX2,pX3,pX4,pX5,pTr0e,pTr2e,pTr3e,pTr4e,pTr5e,pHe,pWe,pS6e,pSe,pJe,pX0e,pX1Re,pX2e,pX3e,pX4e,pX5e,Cancer_type
5.378137783,5.376002718,5.374339546,5.55939828,4.269100195,5.552882893,4.269156265,3.02567433,5.37679748,5.378678448,5.381945624,5.386938208,5.394292945,5.404470701,5.378137783,5.396012764,4.286167127,5.359562345,4.445804095,5.51885801,4.271921617,5.483850668,4.244700425,4.274571955,5.387982133,5.377659951,5.370768009,5.364052358,5.356062625,5.347481872,HBC
2.706182516,2.70496168,2.704157706,2.886935255,2.340713568,2.880186204,2.340730756,1.656994842,2.698985736,2.712141015,2.730924969,2.749829535,2.768979191,2.788503708,2.706182516,2.715724896,2.082721149,2.69468097,2.165400697,2.848993265,2.342436659,2.8309666,2.327298013,2.34395775,2.7097515,2.707537856,2.711151171,2.71508138,2.718398894,2.721446219,HCC
1.849236859,1.84868778,1.848411342,1.900483222,0.906558609,1.899139242,0.906525113,0.450659347,1.84303785,1.854509762,1.870656519,1.886350812,1.901532198,1.916199137,1.849236859,1.869918651,1.775596058,1.880603402,1.684887272,1.891265134,0.905589283,1.860849177,0.896164926,0.906736331,1.85852892,1.850023729,1.849621461,1.848580376,1.848021824,1.846592485,HCC
3.863243813,3.862296269,3.861565667,3.81556514,1.73382543,3.818604744,1.733791902,0.893134943,3.863667353,3.862572492,3.861177677,3.860495196,3.860834892,3.862425505,3.863243813,3.900810857,3.743236611,3.920449855,3.59636063,3.825802495,1.731887244,3.768893574,1.714767676,1.733876354,3.883205322,3.86176105,3.847770429,3.832266608,3.817424832,3.800930309,HBC
0.363043851,0.363659796,0.364298259,0.323301366,-0.082645666,0.325030052,-0.08262077,-0.105197915,0.358575268,0.367127731,0.378700823,0.388827569,0.39712682,0.403369308,0.363043851,0.372407639,0.418161106,0.382926539,0.392871412,0.333694198,-0.082992611,0.321398419,-0.083500057,-0.083177145,0.366942066,0.3638043,0.364329398,0.365131266,0.364997834,0.364696295,HCC
1.235977071,1.237089035,1.237975781,1.027449859,-0.014873076,1.03592127,-0.01480338,-0.089500078,1.239459629,1.233203814,1.223723751,1.213199056,1.201372632,1.188070642,1.235977071,1.253536339,1.343586171,1.272882148,1.312356949,1.072355064,-0.015711028,1.047478686,-0.017067434,-0.016075865,1.246403429,1.234447601,1.22209636,1.209850481,1.195760225,1.181259407,HBC
0.33227381,0.332913875,0.333571281,0.294165872,-0.089602023,0.295130323,-0.089556205,-0.107309404,0.327841053,0.336333071,0.347811471,0.357822947,0.365979711,0.372047779,0.33227381,0.341735905,0.159809025,0.347123339,0.243693387,0.303506531,-0.089916633,0.289839577,-0.09050761,-0.090141839,0.336259115,0.333105372,0.332040601,0.329854958,0.32827721,0.327509231,HCC
1.181582314,1.182736918,1.18365715,0.975944627,-0.027170406,0.983065036,-0.027063725,-0.093232733,1.185128206,1.17876554,1.16911808,1.158389612,1.146311302,1.132700977,1.181582314,1.199315368,0.886875752,1.209589859,1.048642572,1.018989819,-0.027951197,0.991689502,-0.029455265,-0.028387933,1.19216263,1.180178557,1.165016774,1.147489624,1.130846131,1.115520747,HBC
-0.124661307,-0.123663052,-0.122724357,-0.129956574,-0.154406679,-0.129420788,-0.154411117,-0.123460545,-0.128562038,-0.120967615,-0.110895405,-0.10259569,-0.096554861,-0.093964032,-0.124661307,-0.128312933,-0.088885035,-0.135794812,-0.118906702,-0.128730796,-0.154305855,-0.124694866,-0.153719328,-0.154319013,-0.127552062,-0.123608448,-0.117784363,-0.112171589,-0.107163354,-0.102223236,HCC
0.373820179,0.375607986,0.377025477,0.226188174,-0.141730976,0.232550798,-0.141713136,-0.121784445,0.378306577,0.370357157,0.358223861,0.344469371,0.328650545,0.308893215,0.373820179,0.368371021,0.447238621,0.35589536,0.407644296,0.254888019,-0.141777369,0.258882558,-0.141199866,-0.14183925,0.372245113,0.372807627,0.369823848,0.366082607,0.361081701,0.355846996,HBC
